idx,x,y,z,prevIdx
0,81,98,,-1
1,82,97,,0
2,83,96,,1
3,84,95,,2
4,85,94,,3
5,86,93,,4
6,87,92,,5
7,88,91,,6
8,89,90,,7
9,90,89,,8
10,91,88,,9
11,92,87,,10
12,93,86,,11
13,94,85,,12
14,94,84,,13
15,95,83,,14
16,96,82,,15
17,97,82,,16
18,98,81,,17
19,99,80,,18
20,100,79,,19
21,101,79,,20
22,102,79,,21
23,103,79,,22
24,104,79,,23
25,105,78,,24
26,106,77,,25
27,107,76,,26
28,108,75,,27
29,109,74,,28
30,110,74,,29
31,111,74,,30
32,112,73,,31
33,113,73,,32
34,114,72,,33
35,115,71,,34
36,116,70,,35
37,117,70,,36
38,118,70,,37
39,119,70,,38
40,120,69,,39
41,121,68,,40
42,122,67,,41
43,123,66,,42
44,124,65,,43
45,125,64,,44
46,126,64,,45
47,127,64,,46
48,128,63,,47
49,129,63,,48
50,130,62,,49
51,131,62,,50
52,132,61,,51
53,133,60,,52
54,134,59,,53
55,135,59,,54
56,136,58,,55
57,137,58,,56
58,138,58,,57
59,139,57,,58
60,140,57,,59
61,141,57,,60
62,142,56,,61
63,143,55,,62
64,144,54,,63
65,145,54,,64
66,146,54,,65
67,147,53,,66
68,148,53,,67
69,149,53,,68
70,150,53,,69
71,151,53,,70
72,104,175,,-1
73,105,175,,0
74,106,175,,1
75,107,175,,2
76,108,175,,3
77,109,175,,4
78,110,175,,5
79,111,175,,6
80,112,175,,7
81,113,174,,8
82,114,174,,9
83,115,173,,10
84,116,172,,11
85,117,172,,12
86,118,172,,13
87,119,172,,14
88,120,171,,15
89,121,171,,16
90,122,171,,17
91,123,170,,18
92,124,170,,19
93,125,170,,20
94,126,169,,21
95,127,168,,22
96,128,168,,23
97,129,168,,24
98,130,168,,25
99,131,168,,26
100,132,168,,27
101,133,167,,28
102,134,166,,29
103,135,166,,30
104,136,166,,31
105,137,166,,32
106,138,165,,33
107,139,165,,34
108,140,165,,35
109,141,165,,36
110,142,165,,37
111,143,165,,38
112,144,165,,39
113,145,164,,40
114,146,163,,41
115,147,163,,42
116,148,163,,43
117,149,163,,44
118,150,163,,45
119,151,162,,46
120,152,161,,47
121,153,161,,48
122,154,161,,49
123,155,161,,50
124,156,161,,51
125,157,161,,52
126,158,161,,53
127,159,161,,54
128,160,161,,55
129,161,161,,56
130,162,161,,57
131,163,161,,58
132,164,161,,59
133,165,160,,60
134,166,160,,61
135,167,160,,62
136,168,160,,63
137,169,160,,64
138,170,160,,65
139,171,160,,66
140,172,160,,67
141,173,160,,68
142,174,160,,69
143,175,160,,70
144,176,160,,71
145,177,160,,72
146,178,160,,73
147,179,160,,74
148,180,160,,75
149,181,160,,76
150,182,160,,77
151,183,160,,78
152,184,160,,79
153,185,160,,80
154,186,160,,81
155,187,160,,82
156,188,160,,83
157,189,160,,84
158,190,160,,85
159,191,160,,86
160,192,160,,87
161,193,160,,88
162,194,160,,89
163,195,160,,90
164,196,160,,91
165,197,160,,92
166,198,159,,93
167,199,159,,94
168,200,158,,95
169,201,158,,96
170,202,158,,97
171,203,158,,98
172,204,157,,99
173,205,157,,100
174,206,157,,101
175,207,157,,102
176,208,157,,103
177,209,157,,104
178,210,157,,105
179,211,157,,106
180,212,156,,107
181,213,156,,108
182,214,156,,109
